Genotype,Shock_Date,Temperature,Eggs,Hatched_24,Hatched_48
CantonST (1),6-7-22,25,20,16,19
CantonST (1),6-7-22,36,18,3,4
CantonST (2),6-8-22,25,15,8,11
CantonST (2),6-8-22,25,20,12,14
CantonST (2),6-8-22,36,20,5,5
CantonST (2),6-8-22,36,40,7,8
CantonST (3),6-9-22,32,100,89,90
CantonST (3),6-9-22,32,100,85,89
CantonST (3),6-9-22,36,100,4,7
CantonST (3),6-9-22,36,100,3,5
CantonST (3),6-9-22,25,100,90,92
CantonST (3),6-9-22,25,100,84,85
CantonST (3),6-9-22,34,100,54,57
CantonST (3),6-9-22,34,100,48,59
CantonST (4),6-10-22,25,100,91,92
CantonST (4),6-10-22,25,100,87,89
CantonST (4),6-10-22,34,100,63,66
CantonST (4),6-10-22,32,100,85,88
CantonST (4),6-10-22,32,100,90,91
CantonST (4),6-10-22,36,100,6,6
CantonST (4),6-10-22,36,100,5,6
FLCK 02,6-22-22,25,100,45,52
FLCK 03,6-22-22,25,100,69,71
FLCK 05,6-22-22,25,100,77,78
FLCK 06,6-22-22,25,100,43,43
FLCK 08,6-22-22,25,55,36,36
FLCK 09,6-22-22,25,100,66,69
FLCK 02,6-23-22,32,100,39,45
FLCK 03,6-23-22,32,100,79,83
FLCK 05,6-23-22,32,100,91,93
FLCK 06,6-23-22,32,100,52,59
FLCK 08,6-23-22,32,40,22,23
FLCK 09,6-23-22,32,100,90,92
FLCK 02,6-25-22,34,100,38,41
FLCK 03,6-23-22,34,100,45,58
FLCK 05,6-25-22,34,100,67,69
FLCK 06,6-25-22,34,100,59,61
FLCK 08,6-23-22,34,100,50,58
FLCK 09,6-25-22,34,100,77,80
FLCK 02,6-24-22,36,100,8,8
FLCK 03,6-24-22,36,100,3,3
FLCK 05,6-24-22,36,100,2,2
FLCK 06,6-24-22,36,100,3,3
FLCK 08,6-24-22,36,70,4,4
FLCK 09,6-24-22,36,100,6,6
FLCK 02,6-28-22,25,100,49,51
FLCK 03,6-28-22,25,58,22,24
FLCK 05,6-28-22,25,66,60,61
FLCK 06,6-28-22,25,78,44,47
FLCK 08,6-28-22,25,10,10,10
FLCK 09,6-28-22,25,67,61,62
FLCK 02,6-29-22,32,100,43,44
FLCK 03,6-29-22,32,100,56,59
FLCK 05,6-29-22,32,100,89,92
FLCK 06,6-29-22,32,100,57,68
FLCK 08,6-29-22,32,20,14,15
FLCK 09,6-29-22,32,100,84,85
FLCK 02,6-29-22,34,100,34,39
FLCK 03,6-29-22,34,100,30,38
FLCK 05,6-29-22,34,100,69,74
FLCK 06,6-29-22,34,100,50,58
FLCK 08,6-29-22,34,27,17,18
FLCK 09,6-29-22,34,100,71,80
FLCK 02,6-30-22,36,55,2,2
FLCK 03,6-30-22,36,100,5,5
FLCK 05,6-30-22,36,100,8,8
FLCK 06,6-30-22,36,100,2,2
FLCK 08,6-30-22,36,15,1,1
FLCK 09,6-30-22,36,100,6,6
JPOK,7-23-22,25,100,94,94
JPSC,7-13-22,25,100,97,100
FRMO-01,7-13-22,25,30,23,28
FRMO-02,7-13-22,25,70,41,42
JPOK,7-20-22,32,100,96,98
JPSC,7-13-22,32,100,90,97
FRMO-01,7-13-22,32,100,68,81
FRMO-02,7-13-22,32,60,18,26
JPOK,7-21-22,34,45,21,22
JPSC,7-14-22,34,100,82,84
FRMO-01,7-14-22,34,100,74,78
FRMO-02,7-14-22,34,44,23,25
JPOK,7-21-22,36,100,0,0
JPSC,7-15-22,36,100,11,11
FRMO-01,7-15-22,36,80,2,4
FRMO-02,7-15-22,36,47,1,1
JPOK,7-23-22,25,100,93,93
JPSC,7-19-22,25,100,91,91
FRMO-01,7-19-22,25,58,49,52
FRMO-02,7-19-22,25,44,20,21
JPOK,7-20-22,32,90,79,82
JPSC,7-20-22,32,100,95,96
FRMO-01,7-20-22,32,80,56,59
FRMO-02,7-20-22,32,100,54,55
JPOK,7-21-22,34,100,60,60
JPSC,7-21-22,34,100,70,72
FRMO-01,7-21-22,34,75,37,44
FRMO-02,7-21-22,34,26,11,12
JPOK,7-21-22,36,100,1,1
JPSC,7-21-22,36,100,1,1
FRMO-01,7-21-22,36,100,1,1
FRMO-02,7-21-22,36,100,6,7