Genotype,Shock_Date,Temperature,Eggs,Hatched_24,Hatched_48,region,survival
CantonST (1),6-7-22,25,20,16,19,NA,NA
CantonST (1),6-7-22,36,18,3,4,NA,NA
CantonST (2),6-8-22,25,15,8,11,NA,NA
CantonST (2),6-8-22,25,20,12,14,NA,NA
CantonST (2),6-8-22,36,20,5,5,NA,NA
CantonST (2),6-8-22,36,40,7,8,NA,NA
CantonST (3),6-9-22,32,100,89,90,NA,NA
CantonST (3),6-9-22,32,100,85,89,NA,NA
CantonST (3),6-9-22,36,100,4,7,NA,NA
CantonST (3),6-9-22,36,100,3,5,NA,NA
CantonST (3),6-9-22,25,100,90,92,NA,NA
CantonST (3),6-9-22,25,100,84,85,NA,NA
CantonST (3),6-9-22,34,100,54,57,NA,NA
CantonST (3),6-9-22,34,100,48,59,NA,NA
CantonST (4),6-10-22,25,100,91,92,NA,NA
CantonST (4),6-10-22,25,100,87,89,NA,NA
CantonST (4),6-10-22,34,100,63,66,NA,NA
CantonST (4),6-10-22,32,100,85,88,NA,NA
CantonST (4),6-10-22,32,100,90,91,NA,NA
CantonST (4),6-10-22,36,100,6,6,NA,NA
CantonST (4),6-10-22,36,100,5,6,NA,NA
FLCK 02,6-22-22,25,100,45,52,NA,NA
FLCK 03,6-22-22,25,100,69,71,NA,NA
FLCK 05,6-22-22,25,100,77,78,NA,NA
FLCK 06,6-22-22,25,100,43,43,NA,NA
FLCK 08,6-22-22,25,55,36,36,NA,NA
FLCK 09,6-22-22,25,100,66,69,NA,NA
FLCK 02,6-23-22,32,100,39,45,NA,NA
FLCK 03,6-23-22,32,100,79,83,NA,NA
FLCK 05,6-23-22,32,100,91,93,NA,NA
FLCK 06,6-23-22,32,100,52,59,NA,NA
FLCK 08,6-23-22,32,40,22,23,NA,NA
FLCK 09,6-23-22,32,100,90,92,NA,NA
FLCK 02,6-25-22,34,100,38,41,NA,NA
FLCK 03,6-23-22,34,100,45,58,NA,NA
FLCK 05,6-25-22,34,100,67,69,NA,NA
FLCK 06,6-25-22,34,100,59,61,NA,NA
FLCK 08,6-23-22,34,100,50,58,NA,NA
FLCK 09,6-25-22,34,100,77,80,NA,NA
FLCK 02,6-24-22,36,100,8,8,NA,NA
FLCK 03,6-24-22,36,100,3,3,NA,NA
FLCK 05,6-24-22,36,100,2,2,NA,NA
FLCK 06,6-24-22,36,100,3,3,NA,NA
FLCK 08,6-24-22,36,70,4,4,NA,NA
FLCK 09,6-24-22,36,100,6,6,NA,NA
FLCK 02,6-28-22,25,100,49,51,NA,NA
FLCK 03,6-28-22,25,58,22,24,NA,NA
FLCK 05,6-28-22,25,66,60,61,NA,NA
FLCK 06,6-28-22,25,78,44,47,NA,NA
FLCK 08,6-28-22,25,10,10,10,NA,NA
FLCK 09,6-28-22,25,67,61,62,NA,NA
FLCK 02,6-29-22,32,100,43,44,NA,NA
FLCK 03,6-29-22,32,100,56,59,NA,NA
FLCK 05,6-29-22,32,100,89,92,NA,NA
FLCK 06,6-29-22,32,100,57,68,NA,NA
FLCK 08,6-29-22,32,20,14,15,NA,NA
FLCK 09,6-29-22,32,100,84,85,NA,NA
FLCK 02,6-29-22,34,100,34,39,NA,NA
FLCK 03,6-29-22,34,100,30,38,NA,NA
FLCK 05,6-29-22,34,100,69,74,NA,NA
FLCK 06,6-29-22,34,100,50,58,NA,NA
FLCK 08,6-29-22,34,27,17,18,NA,NA
FLCK 09,6-29-22,34,100,71,80,NA,NA
FLCK 02,6-30-22,36,55,2,2,NA,NA
FLCK 03,6-30-22,36,100,5,5,NA,NA
FLCK 05,6-30-22,36,100,8,8,NA,NA
FLCK 06,6-30-22,36,100,2,2,NA,NA
FLCK 08,6-30-22,36,15,1,1,NA,NA
FLCK 09,6-30-22,36,100,6,6,NA,NA
JPSC,7-13-22,25,100,97,100,NA,NA
FRMO-01,7-13-22,25,30,23,28,NA,NA
FRMO-02,7-13-22,25,70,41,42,NA,NA
JPSC,7-13-22,32,100,90,97,NA,NA
FRMO-01,7-13-22,32,100,68,81,NA,NA
FRMO-02,7-13-22,32,60,18,26,NA,NA
JPSC,7-14-22,34,100,82,84,NA,NA
FRMO-01,7-14-22,34,100,74,78,NA,NA
FRMO-02,7-14-22,34,44,23,25,NA,NA
JPSC,7-15-22,36,100,11,11,NA,NA
FRMO-01,7-15-22,36,80,2,4,NA,NA
FRMO-02,7-15-22,36,47,1,1,NA,NA
CH,NA,20,20,NA,20,tropical,1
CH,NA,20,20,NA,17,tropical,0.85
CH,NA,20,20,NA,20,tropical,1
CH,NA,20,20,NA,19,tropical,0.95
CH,NA,20,20,NA,19,tropical,0.95
CH,NA,25,20,NA,17,tropical,0.85
CH,NA,25,20,NA,15,tropical,0.75
CH,NA,25,20,NA,12,tropical,0.6
CH,NA,25,20,NA,20,tropical,1
CH,NA,30,20,NA,12,tropical,0.6
CH,NA,30,20,NA,14,tropical,0.7
CH,NA,30,20,NA,16,tropical,0.8
CH,NA,33,20,NA,19,tropical,0.95
CH,NA,33,20,NA,20,tropical,1
CH,NA,34,20,NA,19,tropical,0.95
CH,NA,34,20,NA,18,tropical,0.9
CH,NA,34,20,NA,18,tropical,0.9
CH,NA,34,20,NA,18,tropical,0.9
CH,NA,34,20,NA,19,tropical,0.95
CH,NA,35,20,NA,14,tropical,0.7
CH,NA,35,20,NA,13,tropical,0.65
CH,NA,35,20,NA,8,tropical,0.4
CH,NA,36,20,NA,8,tropical,0.4
CH,NA,36,20,NA,8,tropical,0.4
CH,NA,36,20,NA,11,tropical,0.55
CH,NA,36,20,NA,12,tropical,0.6
CH,NA,36,20,NA,11,tropical,0.55
CH,NA,36,20,NA,12,tropical,0.6
CH,NA,36,20,NA,8,tropical,0.4
CH,NA,36,20,NA,15,tropical,0.75
CH,NA,38,20,NA,1,tropical,0.05
CH,NA,38,20,NA,0,tropical,0
CH,NA,38,20,NA,0,tropical,0
CH,NA,38,20,NA,1,tropical,0.05
CH,NA,40,20,NA,2,tropical,0.1
CH,NA,40,20,NA,1,tropical,0.05
CH,NA,40,20,NA,1,tropical,0.05
CH,NA,40,20,NA,3,tropical,0.15
CH,NA,44,20,NA,0,tropical,0
CH,NA,44,20,NA,0,tropical,0
CH,NA,44,20,NA,0,tropical,0
CH,NA,44,20,NA,0,tropical,0
CH,NA,44,20,NA,0,tropical,0
GH,NA,20,20,NA,18,tropical,0.9
GH,NA,20,20,NA,14,tropical,0.7
GH,NA,20,20,NA,12,tropical,0.6
GH,NA,20,20,NA,14,tropical,0.7
GH,NA,20,20,NA,15,tropical,0.75
GH,NA,30,20,NA,14,tropical,0.7
GH,NA,30,20,NA,12,tropical,0.6
GH,NA,33,20,NA,16,tropical,0.8
GH,NA,33,20,NA,16,tropical,0.8
GH,NA,33,20,NA,15,tropical,0.75
GH,NA,33,20,NA,17,tropical,0.85
GH,NA,33,20,NA,17,tropical,0.85
GH,NA,33,20,NA,17,tropical,0.85
GH,NA,34,20,NA,14,tropical,0.7
GH,NA,34,20,NA,10,tropical,0.5
GH,NA,34,20,NA,11,tropical,0.55
GH,NA,34,20,NA,9,tropical,0.45
GH,NA,35,20,NA,12,tropical,0.6
GH,NA,35,20,NA,11,tropical,0.55
GH,NA,35,20,NA,10,tropical,0.5
GH,NA,35,20,NA,13,tropical,0.65
GH,NA,35,20,NA,15,tropical,0.75
GH,NA,36,20,NA,0,tropical,0
GH,NA,36,20,NA,1,tropical,0.05
GH,NA,36,20,NA,5,tropical,0.25
GH,NA,36,20,NA,7,tropical,0.35
GH,NA,36,20,NA,9,tropical,0.45
GH,NA,36,20,NA,5,tropical,0.25
GH,NA,36,20,NA,7,tropical,0.35
GH,NA,36,20,NA,5,tropical,0.25
GH,NA,36,20,NA,3,tropical,0.15
GH,NA,38,20,NA,1,tropical,0.05
GH,NA,38,20,NA,1,tropical,0.05
GH,NA,38,20,NA,1,tropical,0.05
GH,NA,38,20,NA,1,tropical,0.05
GH,NA,38,20,NA,0,tropical,0
GH,NA,40,20,NA,0,tropical,0
GH,NA,40,20,NA,2,tropical,0.1
GH,NA,44,20,NA,0,tropical,0
GH,NA,44,20,NA,0,tropical,0
GH,NA,44,20,NA,0,tropical,0
GH,NA,44,20,NA,0,tropical,0
GH,NA,44,20,NA,0,tropical,0
MU,NA,20,20,NA,19,tropical,0.95
MU,NA,20,20,NA,20,tropical,1
MU,NA,20,20,NA,20,tropical,1
MU,NA,20,20,NA,16,tropical,0.8
MU,NA,20,20,NA,20,tropical,1
MU,NA,30,20,NA,15,tropical,0.75
MU,NA,30,20,NA,15,tropical,0.75
MU,NA,30,20,NA,13,tropical,0.65
MU,NA,30,20,NA,16,tropical,0.8
MU,NA,30,20,NA,14,tropical,0.7
MU,NA,33,20,NA,19,tropical,0.95
MU,NA,33,20,NA,18,tropical,0.9
MU,NA,33,20,NA,18,tropical,0.9
MU,NA,33,20,NA,18,tropical,0.9
MU,NA,33,20,NA,17,tropical,0.85
MU,NA,34,20,NA,19,tropical,0.95
MU,NA,34,20,NA,16,tropical,0.8
MU,NA,34,20,NA,19,tropical,0.95
MU,NA,34,20,NA,19,tropical,0.95
MU,NA,34,20,NA,19,tropical,0.95
MU,NA,36,20,NA,0,tropical,0
MU,NA,36,20,NA,2,tropical,0.1
MU,NA,36,20,NA,9,tropical,0.45
MU,NA,36,20,NA,8,tropical,0.4
MU,NA,36,20,NA,10,tropical,0.5
MU,NA,36,20,NA,10,tropical,0.5
MU,NA,36,20,NA,8,tropical,0.4
MU,NA,36,20,NA,11,tropical,0.55
MU,NA,38,20,NA,5,tropical,0.25
MU,NA,38,20,NA,2,tropical,0.1
MU,NA,38,20,NA,1,tropical,0.05
MU,NA,38,20,NA,1,tropical,0.05
MU,NA,38,20,NA,2,tropical,0.1
MU,NA,40,20,NA,8,tropical,0.4
MU,NA,40,20,NA,6,tropical,0.3
MU,NA,40,20,NA,8,tropical,0.4
MU,NA,40,20,NA,8,tropical,0.4
MU,NA,44,20,NA,0,tropical,0
MU,NA,44,20,NA,0,tropical,0
MU,NA,44,20,NA,0,tropical,0
MU,NA,44,20,NA,0,tropical,0
MU,NA,44,20,NA,0,tropical,0
SK,NA,20,20,NA,17,tropical,0.85
SK,NA,20,20,NA,20,tropical,1
SK,NA,20,20,NA,17,tropical,0.85
SK,NA,20,20,NA,17,tropical,0.85
SK,NA,20,20,NA,18,tropical,0.9
SK,NA,25,20,NA,14,tropical,0.7
SK,NA,25,20,NA,15,tropical,0.75
SK,NA,25,20,NA,17,tropical,0.85
SK,NA,25,20,NA,18,tropical,0.9
SK,NA,25,20,NA,17,tropical,0.85
SK,NA,25,20,NA,17,tropical,0.85
SK,NA,25,20,NA,20,tropical,1
SK,NA,25,20,NA,19,tropical,0.95
SK,NA,30,20,NA,14,tropical,0.7
SK,NA,30,20,NA,14,tropical,0.7
SK,NA,30,20,NA,18,tropical,0.9
SK,NA,30,20,NA,20,tropical,1
SK,NA,30,20,NA,18,tropical,0.9
SK,NA,30,17,NA,16,tropical,0.941176471
SK,NA,33,20,NA,18,tropical,0.9
SK,NA,33,20,NA,18,tropical,0.9
SK,NA,33,20,NA,17,tropical,0.85
SK,NA,33,20,NA,16,tropical,0.8
SK,NA,33,20,NA,16,tropical,0.8
SK,NA,33,20,NA,18,tropical,0.9
SK,NA,33,20,NA,14,tropical,0.7
SK,NA,33,20,NA,20,tropical,1
SK,NA,33,20,NA,19,tropical,0.95
SK,NA,34,20,NA,18,tropical,0.9
SK,NA,34,20,NA,18,tropical,0.9
SK,NA,34,20,NA,17,tropical,0.85
SK,NA,35,20,NA,8,tropical,0.4
SK,NA,35,20,NA,9,tropical,0.45
SK,NA,35,20,NA,11,tropical,0.55
SK,NA,35,20,NA,10,tropical,0.5
SK,NA,35,20,NA,12,tropical,0.6
SK,NA,35,20,NA,10,tropical,0.5
SK,NA,35,20,NA,11,tropical,0.55
SK,NA,35,20,NA,13,tropical,0.65
SK,NA,36,20,NA,2,tropical,0.1
SK,NA,36,20,NA,0,tropical,0
SK,NA,36,20,NA,0,tropical,0
SK,NA,36,20,NA,13,tropical,0.65
SK,NA,36,20,NA,8,tropical,0.4
SK,NA,36,20,NA,12,tropical,0.6
SK,NA,38,20,NA,3,tropical,0.15
SK,NA,38,20,NA,2,tropical,0.1
SK,NA,38,20,NA,3,tropical,0.15
SK,NA,38,20,NA,3,tropical,0.15
SK,NA,38,20,NA,0,tropical,0
SK,NA,38,20,NA,1,tropical,0.05
SK,NA,38,20,NA,2,tropical,0.1
SK,NA,38,20,NA,2,tropical,0.1
SK,NA,38,20,NA,0,tropical,0
SK,NA,40,20,NA,4,tropical,0.2
SK,NA,40,20,NA,2,tropical,0.1
SK,NA,44,20,NA,0,tropical,0
SK,NA,44,20,NA,0,tropical,0
SK,NA,44,20,NA,0,tropical,0
SK,NA,44,20,NA,0,tropical,0
GU,NA,33,20,NA,17,tropical,0.85
GU,NA,33,20,NA,17,tropical,0.85
GU,NA,33,20,NA,18,tropical,0.9
GU,NA,33,20,NA,10,tropical,0.5
GU,NA,35,20,NA,9,tropical,0.45
GU,NA,35,20,NA,15,tropical,0.75
GU,NA,35,20,NA,14,tropical,0.7
GU,NA,36,20,NA,3,tropical,0.15
GU,NA,38,20,NA,0,tropical,0
GU,NA,38,20,NA,2,tropical,0.1
GU,NA,38,20,NA,2,tropical,0.1
GU,NA,38,20,NA,0,tropical,0
GU,NA,38,20,NA,0,tropical,0
GU,NA,38,20,NA,0,tropical,0
GU,NA,38,20,NA,20,tropical,1
GU,NA,38,20,NA,0,tropical,0
GU,NA,38,20,NA,0,tropical,0
VTECK_10,NA,28,20,NA,18,temperate,0.9
VTECK_10,NA,28,20,NA,18,temperate,0.9
VTECK_10,NA,28,19,NA,17,temperate,0.894736842
VTECK_10,NA,28,20,NA,20,temperate,1
VTECK_10,NA,28,18,NA,18,temperate,1
VTECK_10,NA,30,20,NA,18,temperate,0.9
VTECK_10,NA,30,20,NA,18,temperate,0.9
VTECK_10,NA,30,20,NA,19,temperate,0.95
VTECK_10,NA,30,20,NA,19,temperate,0.95
VTECK_10,NA,30,16,NA,16,temperate,1
VTECK_10,NA,32,20,NA,19,temperate,0.95
VTECK_10,NA,32,19,NA,15,temperate,0.789473684
VTECK_10,NA,32,12,NA,11,temperate,0.916666667
VTECK_10,NA,32,20,NA,17,temperate,0.85
VTECK_10,NA,32,10,NA,10,temperate,1
VTECK_10,NA,34,17,NA,6,temperate,0.352941176
VTECK_10,NA,34,20,NA,18,temperate,0.9
VTECK_10,NA,34,7,NA,4,temperate,0.571428571
VTECK_10,NA,34,7,NA,3,temperate,0.428571429
VTECK_10,NA,34,20,NA,11,temperate,0.55
VTECK_10,NA,36,20,NA,0,temperate,0
VTECK_10,NA,36,20,NA,0,temperate,0
VTECK_10,NA,36,20,NA,0,temperate,0
VTECK_10,NA,36,19,NA,0,temperate,0
VTECK_10,NA,36,20,NA,0,temperate,0
VTECK_10,NA,38,15,NA,1,temperate,0.066666667
VTECK_10,NA,38,18,NA,0,temperate,0
VTECK_10,NA,38,12,NA,1,temperate,0.083333333
VTECK_10,NA,38,10,NA,1,temperate,0.1
VTECK_10,NA,38,14,NA,2,temperate,0.142857143
VTECK_10,NA,40,20,NA,0,temperate,0
VTECK_10,NA,40,20,NA,0,temperate,0
VTECK_10,NA,40,20,NA,0,temperate,0
VTECK_10,NA,40,20,NA,0,temperate,0
VTECK_10,NA,40,20,NA,0,temperate,0
VTECK_12,NA,32,20,NA,17,temperate,0.85
VTECK_12,NA,32,20,NA,18,temperate,0.9
VTECK_12,NA,32,20,NA,17,temperate,0.85
VTECK_12,NA,32,20,NA,18,temperate,0.9
VTECK_12,NA,32,20,NA,19,temperate,0.95
VTECK_12,NA,34,20,NA,12,temperate,0.6
VTECK_12,NA,34,20,NA,11,temperate,0.55
VTECK_12,NA,34,20,NA,9,temperate,0.45
VTECK_12,NA,34,20,NA,12,temperate,0.6
VTECK_12,NA,34,20,NA,10,temperate,0.5
VTECK_12,NA,36,20,NA,1,temperate,0.05
VTECK_12,NA,36,20,NA,3,temperate,0.15
VTECK_12,NA,36,20,NA,1,temperate,0.05
VTECK_12,NA,36,20,NA,1,temperate,0.05
VTECK_12,NA,36,20,NA,1,temperate,0.05
VTECK_12,NA,38,20,NA,0,temperate,0
VTECK_12,NA,38,20,NA,0,temperate,0
VTECK_12,NA,38,22,NA,1,temperate,0.045454545
VTECK_12,NA,38,20,NA,0,temperate,0
VTECK_12,NA,38,20,NA,0,temperate,0
VTECK_14,NA,28,20,NA,19,temperate,0.95
VTECK_14,NA,28,20,NA,19,temperate,0.95
VTECK_14,NA,28,20,NA,19,temperate,0.95
VTECK_14,NA,28,20,NA,19,temperate,0.95
VTECK_14,NA,28,20,NA,16,temperate,0.8
VTECK_14,NA,30,20,NA,18,temperate,0.9
VTECK_14,NA,30,19,NA,18,temperate,0.947368421
VTECK_14,NA,30,20,NA,19,temperate,0.95
VTECK_14,NA,30,20,NA,20,temperate,1
VTECK_14,NA,30,20,NA,19,temperate,0.95
VTECK_14,NA,32,20,NA,19,temperate,0.95
VTECK_14,NA,32,20,NA,19,temperate,0.95
VTECK_14,NA,32,20,NA,20,temperate,1
VTECK_14,NA,32,20,NA,19,temperate,0.95
VTECK_14,NA,32,20,NA,20,temperate,1
VTECK_14,NA,34,22,NA,22,temperate,1
VTECK_14,NA,34,20,NA,17,temperate,0.85
VTECK_14,NA,34,20,NA,19,temperate,0.95
VTECK_14,NA,34,20,NA,20,temperate,1
VTECK_14,NA,34,20,NA,15,temperate,0.75
VTECK_14,NA,36,20,NA,0,temperate,0
VTECK_14,NA,36,20,NA,2,temperate,0.1
VTECK_14,NA,36,20,NA,0,temperate,0
VTECK_14,NA,36,20,NA,2,temperate,0.1
VTECK_14,NA,36,20,NA,0,temperate,0
VTECK_14,NA,38,20,NA,3,temperate,0.15
VTECK_14,NA,38,20,NA,3,temperate,0.15
VTECK_14,NA,38,20,NA,1,temperate,0.05
VTECK_14,NA,38,20,NA,1,temperate,0.05
VTECK_14,NA,38,20,NA,0,temperate,0
VTECK_14,NA,40,11,NA,0,temperate,0
VTECK_14,NA,40,20,NA,4,temperate,0.2
VTECK_14,NA,40,21,NA,1,temperate,0.047619048
VTECK_14,NA,40,12,NA,0,temperate,0
VTECK_14,NA,40,20,NA,0,temperate,0
VTECK_2,NA,28,16,NA,15,temperate,0.9375
VTECK_2,NA,28,15,NA,15,temperate,1
