Genotype,Shock_Date,Temperature,Eggs,Hatched_24,Hatched_48,region,survival
RFM_16,NA,34,20,NA,14,temperate,0.7
RFM_16,NA,36,20,NA,4,temperate,0.2
RFM_16,NA,36,20,NA,4,temperate,0.2
RFM_16,NA,36,20,NA,2,temperate,0.1
RFM_16,NA,36,20,NA,6,temperate,0.3
RFM_16,NA,36,20,NA,0,temperate,0
RFM_16,NA,36,20,NA,2,temperate,0.1
RFM_16,NA,36,20,NA,2,temperate,0.1
RFM_16,NA,36,20,NA,1,temperate,0.05
RFM_16,NA,36,20,NA,2,temperate,0.1
RFM_16,NA,38,20,NA,1,temperate,0.05
RFM_16,NA,38,20,NA,0,temperate,0
RFM_16,NA,38,20,NA,6,temperate,0.3
RFM_16,NA,38,20,NA,0,temperate,0
RFM_16,NA,38,20,NA,0,temperate,0
RFM_16,NA,38,10,NA,2,temperate,0.2
RFM_16,NA,38,20,NA,1,temperate,0.05
RFM_16,NA,40,14,NA,1,temperate,0.071428571
RFM_16,NA,40,12,NA,1,temperate,0.083333333
RFM_19,NA,28,20,NA,17,temperate,0.85
RFM_19,NA,28,20,NA,20,temperate,1
RFM_19,NA,28,20,NA,11,temperate,0.55
RFM_19,NA,28,20,NA,19,temperate,0.95
RFM_19,NA,28,20,NA,18,temperate,0.9
RFM_19,NA,30,20,NA,16,temperate,0.8
RFM_19,NA,30,16,NA,14,temperate,0.875
RFM_19,NA,30,20,NA,16,temperate,0.8
RFM_19,NA,30,20,NA,19,temperate,0.95
RFM_19,NA,30,20,NA,15,temperate,0.75
RFM_19,NA,32,20,NA,19,temperate,0.95
RFM_19,NA,32,20,NA,19,temperate,0.95
RFM_19,NA,32,20,NA,19,temperate,0.95
RFM_19,NA,32,20,NA,18,temperate,0.9
RFM_19,NA,32,20,NA,17,temperate,0.85
RFM_19,NA,34,20,NA,12,temperate,0.6
RFM_19,NA,34,20,NA,14,temperate,0.7
RFM_19,NA,34,20,NA,14,temperate,0.7
RFM_19,NA,34,20,NA,11,temperate,0.55
RFM_19,NA,34,20,NA,17,temperate,0.85
RFM_19,NA,36,19,NA,4,temperate,0.210526316
RFM_19,NA,36,20,NA,0,temperate,0
RFM_19,NA,36,20,NA,1,temperate,0.05
RFM_19,NA,36,20,NA,0,temperate,0
RFM_19,NA,36,20,NA,0,temperate,0
RFM_19,NA,38,20,NA,4,temperate,0.2
RFM_19,NA,38,20,NA,2,temperate,0.1
RFM_19,NA,38,20,NA,2,temperate,0.1
RFM_19,NA,38,20,NA,0,temperate,0
RFM_19,NA,38,20,NA,0,temperate,0
RFM_19,NA,40,17,NA,1,temperate,0.058823529
RFM_19,NA,40,13,NA,0,temperate,0
RFM_19,NA,40,20,NA,0,temperate,0
RFM_19,NA,40,19,NA,2,temperate,0.105263158
RFM_19,NA,40,14,NA,0,temperate,0
RFM_34,NA,32,20,NA,15,temperate,0.75
RFM_34,NA,32,20,NA,17,temperate,0.85
RFM_34,NA,32,20,NA,20,temperate,1
RFM_34,NA,32,20,NA,16,temperate,0.8
RFM_34,NA,32,20,NA,19,temperate,0.95
RFM_34,NA,34,16,NA,12,temperate,0.75
RFM_34,NA,34,20,NA,18,temperate,0.9
RFM_34,NA,34,20,NA,19,temperate,0.95
RFM_34,NA,34,20,NA,15,temperate,0.75
RFM_34,NA,36,20,NA,2,temperate,0.1
RFM_34,NA,36,13,NA,0,temperate,0
RFM_34,NA,36,20,NA,0,temperate,0
RFM_34,NA,36,20,NA,0,temperate,0
RFM_34,NA,38,20,NA,8,temperate,0.4
RFM_34,NA,38,20,NA,3,temperate,0.15
RFM_34,NA,38,20,NA,0,temperate,0
RFM_4,NA,32,20,NA,14,temperate,0.7
RFM_4,NA,32,20,NA,10,temperate,0.5
RFM_4,NA,32,20,NA,9,temperate,0.45
RFM_4,NA,32,20,NA,8,temperate,0.4
RFM_4,NA,32,20,NA,10,temperate,0.5
RFM_4,NA,32,20,NA,20,temperate,1
RFM_4,NA,32,20,NA,18,temperate,0.9
RFM_4,NA,32,20,NA,17,temperate,0.85
RFM_4,NA,32,20,NA,17,temperate,0.85
RFM_4,NA,32,20,NA,20,temperate,1
RFM_4,NA,34,20,NA,8,temperate,0.4
RFM_4,NA,34,20,NA,7,temperate,0.35
RFM_4,NA,34,20,NA,12,temperate,0.6
RFM_4,NA,34,20,NA,9,temperate,0.45
RFM_4,NA,34,20,NA,11,temperate,0.55
RFM_4,NA,34,20,NA,14,temperate,0.7
RFM_4,NA,34,20,NA,14,temperate,0.7
RFM_4,NA,34,20,NA,17,temperate,0.85
RFM_4,NA,34,20,NA,17,temperate,0.85
RFM_4,NA,34,20,NA,20,temperate,1
RFM_4,NA,36,20,NA,1,temperate,0.05
RFM_4,NA,36,20,NA,3,temperate,0.15
RFM_4,NA,36,20,NA,1,temperate,0.05
RFM_4,NA,36,20,NA,2,temperate,0.1
RFM_4,NA,36,20,NA,0,temperate,0
RFM_4,NA,36,20,NA,3,temperate,0.15
RFM_4,NA,36,20,NA,1,temperate,0.05
RFM_4,NA,36,20,NA,1,temperate,0.05
RFM_4,NA,36,20,NA,1,temperate,0.05
RFM_4,NA,36,20,NA,0,temperate,0
RFM_4,NA,38,20,NA,0,temperate,0
RFM_4,NA,38,20,NA,1,temperate,0.05
RFM_4,NA,38,20,NA,0,temperate,0
RFM_4,NA,38,20,NA,2,temperate,0.1
RFM_4,NA,38,20,NA,0,temperate,0
RFM_4,NA,38,20,NA,1,temperate,0.05
RFM_4,NA,38,20,NA,1,temperate,0.05
RFM_4,NA,38,20,NA,5,temperate,0.25
RFM_4,NA,38,20,NA,0,temperate,0
RFM_4,NA,38,20,NA,1,temperate,0.05
RFM_48,NA,30,12,NA,11,temperate,0.916666667
RFM_48,NA,30,11,NA,9,temperate,0.818181818
RFM_48,NA,30,20,NA,16,temperate,0.8
RFM_48,NA,30,18,NA,15,temperate,0.833333333
RFM_48,NA,32,20,NA,20,temperate,1
RFM_48,NA,32,13,NA,12,temperate,0.923076923
RFM_48,NA,32,20,NA,18,temperate,0.9
RFM_48,NA,32,14,NA,13,temperate,0.928571429
RFM_48,NA,32,20,NA,17,temperate,0.85
RFM_48,NA,32,20,NA,18,temperate,0.9
RFM_48,NA,32,20,NA,20,temperate,1
RFM_48,NA,32,20,NA,17,temperate,0.85
RFM_48,NA,32,20,NA,20,temperate,1
RFM_48,NA,32,20,NA,19,temperate,0.95
RFM_48,NA,34,20,NA,12,temperate,0.6
RFM_48,NA,34,14,NA,8,temperate,0.571428571
RFM_48,NA,34,20,NA,16,temperate,0.8
RFM_48,NA,34,12,NA,11,temperate,0.916666667
RFM_48,NA,34,14,NA,12,temperate,0.857142857
RFM_48,NA,34,14,NA,13,temperate,0.928571429
RFM_48,NA,36,15,NA,2,temperate,0.133333333
RFM_48,NA,36,20,NA,0,temperate,0
RFM_48,NA,36,12,NA,2,temperate,0.166666667
RFM_48,NA,38,20,NA,4,temperate,0.2
RFM_48,NA,38,18,NA,3,temperate,0.166666667
RFM_48,NA,38,15,NA,0,temperate,0
RFM_6,NA,32,20,NA,10,temperate,0.5
RFM_6,NA,32,20,NA,13,temperate,0.65
RFM_6,NA,32,20,NA,11,temperate,0.55
RFM_6,NA,32,20,NA,16,temperate,0.8
RFM_6,NA,32,20,NA,14,temperate,0.7
RFM_6,NA,32,20,NA,18,temperate,0.9
RFM_6,NA,32,20,NA,20,temperate,1
RFM_6,NA,32,20,NA,19,temperate,0.95
RFM_6,NA,32,20,NA,19,temperate,0.95
RFM_6,NA,32,20,NA,20,temperate,1
RFM_6,NA,34,20,NA,12,temperate,0.6
RFM_6,NA,34,20,NA,10,temperate,0.5
RFM_6,NA,34,20,NA,10,temperate,0.5
RFM_6,NA,34,20,NA,15,temperate,0.75
RFM_6,NA,34,20,NA,15,temperate,0.75
RFM_6,NA,34,20,NA,17,temperate,0.85
RFM_6,NA,34,20,NA,12,temperate,0.6
RFM_6,NA,34,19,NA,16,temperate,0.842105263
RFM_6,NA,36,20,NA,4,temperate,0.2
RFM_6,NA,36,20,NA,3,temperate,0.15
RFM_6,NA,36,20,NA,2,temperate,0.1
RFM_6,NA,36,20,NA,5,temperate,0.25
RFM_6,NA,36,20,NA,1,temperate,0.05
RFM_6,NA,36,20,NA,2,temperate,0.1
RFM_6,NA,36,20,NA,1,temperate,0.05
RFM_6,NA,36,20,NA,0,temperate,0
RFM_6,NA,36,20,NA,2,temperate,0.1
RFM_6,NA,38,20,NA,1,temperate,0.05
RFM_6,NA,38,20,NA,0,temperate,0
RFM_6,NA,38,20,NA,0,temperate,0
RFM_6,NA,38,20,NA,0,temperate,0
RFM_6,NA,38,20,NA,0,temperate,0
RFM_6,NA,38,20,NA,1,temperate,0.05
RFM_6,NA,38,20,NA,4,temperate,0.2
RFM_6,NA,38,20,NA,2,temperate,0.1
RFM_6,NA,38,20,NA,1,temperate,0.05
RFM_6,NA,38,15,NA,2,temperate,0.133333333
CH_F_X_VTECK12_M,NA,28,20,NA,17,tropical.X.temperate,0.85
CH_F_X_VTECK12_M,NA,28,20,NA,13,tropical.X.temperate,0.65
CH_F_X_VTECK12_M,NA,28,20,NA,18,tropical.X.temperate,0.9
CH_F_X_VTECK12_M,NA,28,20,NA,18,tropical.X.temperate,0.9
CH_F_X_VTECK12_M,NA,28,20,NA,15,tropical.X.temperate,0.75
CH_F_X_VTECK12_M,NA,30,20,NA,20,tropical.X.temperate,1
CH_F_X_VTECK12_M,NA,30,20,NA,18,tropical.X.temperate,0.9
CH_F_X_VTECK12_M,NA,30,20,NA,18,tropical.X.temperate,0.9
CH_F_X_VTECK12_M,NA,30,20,NA,20,tropical.X.temperate,1
CH_F_X_VTECK12_M,NA,30,20,NA,20,tropical.X.temperate,1
CH_F_X_VTECK12_M,NA,32,20,NA,16,tropical.X.temperate,0.8
CH_F_X_VTECK12_M,NA,32,20,NA,17,tropical.X.temperate,0.85
CH_F_X_VTECK12_M,NA,32,20,NA,14,tropical.X.temperate,0.7
CH_F_X_VTECK12_M,NA,32,20,NA,14,tropical.X.temperate,0.7
CH_F_X_VTECK12_M,NA,32,20,NA,14,tropical.X.temperate,0.7
CH_F_X_VTECK12_M,NA,32,20,NA,18,tropical.X.temperate,0.9
CH_F_X_VTECK12_M,NA,32,20,NA,19,tropical.X.temperate,0.95
CH_F_X_VTECK12_M,NA,32,20,NA,12,tropical.X.temperate,0.6
CH_F_X_VTECK12_M,NA,32,20,NA,20,tropical.X.temperate,1
CH_F_X_VTECK12_M,NA,33,20,NA,12,tropical.X.temperate,0.6
CH_F_X_VTECK12_M,NA,33,16,NA,10,tropical.X.temperate,0.625
CH_F_X_VTECK12_M,NA,33,20,NA,17,tropical.X.temperate,0.85
CH_F_X_VTECK12_M,NA,33,20,NA,16,tropical.X.temperate,0.8
CH_F_X_VTECK12_M,NA,33,20,NA,17,tropical.X.temperate,0.85
CH_F_X_VTECK12_M,NA,33,20,NA,17,tropical.X.temperate,0.85
CH_F_X_VTECK12_M,NA,33,20,NA,13,tropical.X.temperate,0.65
CH_F_X_VTECK12_M,NA,34,20,NA,12,tropical.X.temperate,0.6
CH_F_X_VTECK12_M,NA,34,20,NA,14,tropical.X.temperate,0.7
CH_F_X_VTECK12_M,NA,34,20,NA,14,tropical.X.temperate,0.7
CH_F_X_VTECK12_M,NA,34,20,NA,15,tropical.X.temperate,0.75
CH_F_X_VTECK12_M,NA,34,20,NA,16,tropical.X.temperate,0.8
CH_F_X_VTECK12_M,NA,34,20,NA,18,tropical.X.temperate,0.9
CH_F_X_VTECK12_M,NA,34,20,NA,18,tropical.X.temperate,0.9
CH_F_X_VTECK12_M,NA,34,20,NA,17,tropical.X.temperate,0.85
CH_F_X_VTECK12_M,NA,34,20,NA,17,tropical.X.temperate,0.85
CH_F_X_VTECK12_M,NA,34,20,NA,19,tropical.X.temperate,0.95
CH_F_X_VTECK12_M,NA,35,20,NA,20,tropical.X.temperate,1
CH_F_X_VTECK12_M,NA,35,20,NA,17,tropical.X.temperate,0.85
CH_F_X_VTECK12_M,NA,35,20,NA,20,tropical.X.temperate,1
CH_F_X_VTECK12_M,NA,35,20,NA,16,tropical.X.temperate,0.8
CH_F_X_VTECK12_M,NA,35,20,NA,8,tropical.X.temperate,0.4
CH_F_X_VTECK12_M,NA,36,20,NA,4,tropical.X.temperate,0.2
CH_F_X_VTECK12_M,NA,36,20,NA,3,tropical.X.temperate,0.15
CH_F_X_VTECK12_M,NA,36,20,NA,4,tropical.X.temperate,0.2
CH_F_X_VTECK12_M,NA,36,20,NA,3,tropical.X.temperate,0.15
CH_F_X_VTECK12_M,NA,36,20,NA,3,tropical.X.temperate,0.15
CH_F_X_VTECK12_M,NA,36,20,NA,3,tropical.X.temperate,0.15
CH_F_X_VTECK12_M,NA,37,20,NA,0,tropical.X.temperate,0
CH_F_X_VTECK12_M,NA,37,20,NA,9,tropical.X.temperate,0.45
CH_F_X_VTECK12_M,NA,37,20,NA,9,tropical.X.temperate,0.45
CH_F_X_VTECK12_M,NA,37,20,NA,10,tropical.X.temperate,0.5
CH_F_X_VTECK12_M,NA,37,20,NA,9,tropical.X.temperate,0.45
CH_F_X_VTECK12_M,NA,38,20,NA,0,tropical.X.temperate,0
CH_F_X_VTECK12_M,NA,38,20,NA,0,tropical.X.temperate,0
CH_F_X_VTECK12_M,NA,38,20,NA,0,tropical.X.temperate,0
CH_F_X_VTECK12_M,NA,38,20,NA,0,tropical.X.temperate,0
CH_F_X_VTECK12_M,NA,38,20,NA,0,tropical.X.temperate,0
CH_F_X_VTECK12_M,NA,40,20,NA,0,tropical.X.temperate,0
CH_F_X_VTECK12_M,NA,40,20,NA,0,tropical.X.temperate,0
CH_F_X_VTECK12_M,NA,40,20,NA,0,tropical.X.temperate,0
CH_F_X_VTECK12_M,NA,40,20,NA,0,tropical.X.temperate,0
CH_F_X_VTECK12_M,NA,40,20,NA,0,tropical.X.temperate,0
CH_F_X_VTECK12_M,NA,40,20,NA,0,tropical.X.temperate,0
VTECK12_F_X_CH_M,NA,28,20,NA,18,temperate.X.tropical,0.9
VTECK12_F_X_CH_M,NA,28,20,NA,16,temperate.X.tropical,0.8
VTECK12_F_X_CH_M,NA,28,20,NA,18,temperate.X.tropical,0.9
VTECK12_F_X_CH_M,NA,28,20,NA,15,temperate.X.tropical,0.75
VTECK12_F_X_CH_M,NA,28,20,NA,16,temperate.X.tropical,0.8
VTECK12_F_X_CH_M,NA,30,20,NA,17,temperate.X.tropical,0.85
VTECK12_F_X_CH_M,NA,30,20,NA,19,temperate.X.tropical,0.95
VTECK12_F_X_CH_M,NA,30,20,NA,18,temperate.X.tropical,0.9
VTECK12_F_X_CH_M,NA,30,20,NA,18,temperate.X.tropical,0.9
VTECK12_F_X_CH_M,NA,30,20,NA,19,temperate.X.tropical,0.95
VTECK12_F_X_CH_M,NA,32,14,NA,8,temperate.X.tropical,0.571428571
VTECK12_F_X_CH_M,NA,32,20,NA,12,temperate.X.tropical,0.6
VTECK12_F_X_CH_M,NA,32,20,NA,12,temperate.X.tropical,0.6
VTECK12_F_X_CH_M,NA,32,20,NA,12,temperate.X.tropical,0.6
VTECK12_F_X_CH_M,NA,32,20,NA,11,temperate.X.tropical,0.55
VTECK12_F_X_CH_M,NA,33,18,NA,14.99999999,temperate.X.tropical,0.833333333
VTECK12_F_X_CH_M,NA,33,20,NA,13,temperate.X.tropical,0.65
VTECK12_F_X_CH_M,NA,33,20,NA,13,temperate.X.tropical,0.65
VTECK12_F_X_CH_M,NA,33,20,NA,14,temperate.X.tropical,0.7
VTECK12_F_X_CH_M,NA,34,20,NA,10,temperate.X.tropical,0.5
VTECK12_F_X_CH_M,NA,34,16,NA,15,temperate.X.tropical,0.9375
VTECK12_F_X_CH_M,NA,34,20,NA,20,temperate.X.tropical,1
VTECK12_F_X_CH_M,NA,34,20,NA,16,temperate.X.tropical,0.8
VTECK12_F_X_CH_M,NA,34,20,NA,15,temperate.X.tropical,0.75
VTECK12_F_X_CH_M,NA,34,20,NA,17,temperate.X.tropical,0.85
VTECK12_F_X_CH_M,NA,34,20,NA,11,temperate.X.tropical,0.55
VTECK12_F_X_CH_M,NA,35,20,NA,12,temperate.X.tropical,0.6
VTECK12_F_X_CH_M,NA,35,20,NA,14,temperate.X.tropical,0.7
VTECK12_F_X_CH_M,NA,35,20,NA,10,temperate.X.tropical,0.5
VTECK12_F_X_CH_M,NA,35,20,NA,14,temperate.X.tropical,0.7
VTECK12_F_X_CH_M,NA,35,20,NA,16,temperate.X.tropical,0.8
VTECK12_F_X_CH_M,NA,36,20,NA,2,temperate.X.tropical,0.1
VTECK12_F_X_CH_M,NA,36,20,NA,6,temperate.X.tropical,0.3
VTECK12_F_X_CH_M,NA,36,20,NA,3,temperate.X.tropical,0.15
VTECK12_F_X_CH_M,NA,36,20,NA,4,temperate.X.tropical,0.2
VTECK12_F_X_CH_M,NA,36,20,NA,5,temperate.X.tropical,0.25
VTECK12_F_X_CH_M,NA,37,20,NA,7,temperate.X.tropical,0.35
VTECK12_F_X_CH_M,NA,37,20,NA,4,temperate.X.tropical,0.2
VTECK12_F_X_CH_M,NA,37,20,NA,7,temperate.X.tropical,0.35
VTECK12_F_X_CH_M,NA,37,20,NA,5,temperate.X.tropical,0.25
VTECK12_F_X_CH_M,NA,37,20,NA,2,temperate.X.tropical,0.1
VTECK12_F_X_CH_M,NA,38,20,NA,1,temperate.X.tropical,0.05
VTECK12_F_X_CH_M,NA,38,20,NA,2,temperate.X.tropical,0.1
VTECK12_F_X_CH_M,NA,38,20,NA,1,temperate.X.tropical,0.05
VTECK12_F_X_CH_M,NA,38,20,NA,2,temperate.X.tropical,0.1
VTECK12_F_X_CH_M,NA,38,20,NA,0,temperate.X.tropical,0
VTECK12_F_X_CH_M,NA,40,20,NA,0,temperate.X.tropical,0
VTECK12_F_X_CH_M,NA,40,20,NA,0,temperate.X.tropical,0
VTECK12_F_X_CH_M,NA,40,20,NA,0,temperate.X.tropical,0
VTECK12_F_X_CH_M,NA,40,20,NA,0,temperate.X.tropical,0
VTECK12_F_X_CH_M,NA,40,20,NA,0,temperate.X.tropical,0
VTECK12_F_X_CH_M,NA,40,20,NA,0,temperate.X.tropical,0
